word, absfrequency, relfrequency
floating,9,0.02
follow,9,0.02
grand,9,0.02
hair-ball,9,0.02
heels,9,0.02
jim;,9,0.02
juliet,9,0.02
kase,9,0.02
kitchen,9,0.02
laugh,9,0.02
legs,9,0.02
lines,9,0.02
loaded,9,0.02
logs,9,0.02
lots,9,0.02
loud,9,0.02
love,9,0.02
main,9,0.02
missouri,9,0.02
mixed,9,0.02
monstrous,9,0.02
more;,9,0.02
mum,9,0.02
needn,9,0.02
neither,9,0.02
nonesuch,9,0.02
nose,9,0.02
noth,9,0.02
nothing;,9,0.02
often,9,0.02
overboard,9,0.02
owner,9,0.02
pan,9,0.02
plates,9,0.02
private,9,0.02
raf,9,0.02
rapscallions,9,0.02
rat,9,0.02
ring,9,0.02
roun,9,0.02
row,9,0.02
rush,9,0.02
said:,9,0.02
section,9,0.02
shake,9,0.02
shepherdsons,9,0.02
sky,9,0.02
snake-skin,9,0.02
so;,9,0.02
solemn,9,0.02
somewheres,9,0.02
speech,9,0.02
splendid,9,0.02
stars,9,0.02
steps,9,0.02
stock,9,0.02
street,9,0.02
sunday-school,9,0.02
surprise,9,0.02
susan,9,0.02
t;,9,0.02
throwed,9,0.02
tolerable,9,0.02
true,9,0.02
uv,9,0.02
voice,9,0.02
walked,9,0.02
weeks,9,0.02
whah,9,0.02
whoop,9,0.02
yelling,9,0.02
yesterday,9,0.02
_don,8,0.01
_i,8,0.01
a-gwyne,8,0.01
afternoon,8,0.01
apiece,8,0.01
associated,8,0.01
ax,8,0.01
baggage,8,0.01
band,8,0.01
become,8,0.01
bed-leg,8,0.01
bed;,8,0.01
bell,8,0.01
bend,8,0.01
bless,8,0.01
blood,8,0.01
branches,8,0.01
bushes,8,0.01
camp,8,0.01
carried,8,0.01
carry,8,0.01
chair,8,0.01
chairs,8,0.01
copies,8,0.01
crack,8,0.01
crick,8,0.01
cussed,8,0.01
devil,8,0.01
dim,8,0.01
domain,8,0.01
down-stream,8,0.01
dull,8,0.01
ebook,8,0.01
evening,8,0.01
excited,8,0.01
fair,8,0.01
fee,8,0.01
following,8,0.01
foolishness,8,0.01
forget,8,0.01
goshen,8,0.01
grass,8,0.01
guess,8,0.01
happen,8,0.01
happy,8,0.01
harney,8,0.01
hears,8,0.01
hill,8,0.01
http:,8,0.01
information,8,0.01
injun,8,0.01
iron,8,0.01
jack,8,0.01
jug,8,0.01
keeping,8,0.01
kiss,8,0.01
kissed,8,0.01
landed,8,0.01
lets,8,0.01
listening,8,0.01
lives,8,0.01
majesty,8,0.01
meat,8,0.01
mistake,8,0.01
mumps,8,0.01
mustn,8,0.01
one;,8,0.01
orgies,8,0.01
painted,8,0.01
pale,8,0.01
parlor,8,0.01
particular,8,0.01
picks,8,0.01
plate,8,0.01
powwow,8,0.01
providence,8,0.01
rag,8,0.01
