word, absfrequency, relfrequency
executive,1,0.02
exhibited,1,0.02
existence,1,0.02
exists,1,0.02
expeditions,1,0.02
expend,1,0.02
expense,1,0.02
experiences,1,0.02
exporting,1,0.02
express,1,0.02
extent,1,0.02
exultation,1,0.02
eying,1,0.02
f3,1,0.02
faces,1,0.02
facility:,1,0.02
faculties,1,0.02
fagged,1,0.02
fairbanks,1,0.02
fall,1,0.02
families,1,0.02
far-reaching,1,0.02
feather,1,0.02
feel,1,0.02
feelings,1,0.02
feels,1,0.02
felicity,1,0.02
fence--right,1,0.02
fence;,1,0.02
fetch,1,0.02
fiercely,1,0.02
fifty,1,0.02
fight,1,0.02
filled,1,0.02
film,1,0.02
financial,1,0.02
find,1,0.02
finery,1,0.02
finger,1,0.02
fingers,1,0.02
finish,1,0.02
finn,1,0.02
fire,1,0.02
fire-crackers,1,0.02
firing,1,0.02
firmness,1,0.02
fisher,1,0.02
fists,1,0.02
fitness,1,0.02
fixed,1,0.02
flattered,1,0.02
flavor,1,0.02
fled,1,0.02
flight,1,0.02
flourish,1,0.02
flushed,1,0.02
flying,1,0.02
fog,1,0.02
follow,1,0.02
fool,1,0.02
foolin,1,0.02
fooling,1,0.02
foolishness,1,0.02
forbade,1,0.02
forestalled,1,0.02
forgive,1,0.02
forgiving,1,0.02
forth--stepped,1,0.02
forty-foot,1,0.02
four,1,0.02
four-horse,1,0.02
fragment,1,0.02
fragrance,1,0.02
fraid,1,0.02
freedom,1,0.02
fresh,1,0.02
fresh-crowned,1,0.02
friday,1,0.02
friend,1,0.02
friendly,1,0.02
frock,1,0.02
fry--but,1,0.02
fundraising,1,0.02
furniture,1,0.02
furtive,1,0.02
gait,1,0.02
gals,1,0.02
garden,1,0.02
garden--a,1,0.02
garments,1,0.02
gauge-cocks,1,0.02
gay,1,0.02
gbnewby@pglaf,1,0.02
geeminy,1,0.02
generally,1,0.02
gentlemen,1,0.02
gimme,1,0.02
git,1,0.02
given,1,0.02
gladness,1,0.02
glance,1,0.02
glanced,1,0.02
gloom,1,0.02
glory,1,0.02
glorying,1,0.02
glow,1,0.02
glowering,1,0.02
goals,1,0.02
god,1,0.02
govern,1,0.02
granted,1,0.02
gratefully,1,0.02
gratified,1,0.02
grating,1,0.02
gratitude,1,0.02
gray,1,0.02
green,1,0.02
gregory,1,0.02
griefs,1,0.02
grieving,1,0.02
gripped,1,0.02
gross,1,0.02
grotesque,1,0.02
group,1,0.02
grow,1,0.02
guile,1,0.02
gutenberg:,1,0.02
gwine,1,0.02
gymnastic,1,0.02
h,1,0.02
hail-storm;,1,0.02
half-brother,1,0.02
half-past,1,0.02
halted,1,0.02
handle,1,0.02
handy,1,0.02
happen,1,0.02
happened,1,0.02
happiest,1,0.02
hard-fought,1,0.02
harmless,1,0.02
harper,1,0.02
hartford,1,0.02
hastened,1,0.02
hate,1,0.02
hateful,1,0.02
haunts,1,0.02
head-line,1,0.02
headquarters,1,0.02
heads--mine,1,0.02
headway,1,0.02
healing,1,0.02
hear,1,0.02
hear:,1,0.02
heart--or,1,0.02
heart;,1,0.02
heave,1,0.02
heaved,1,0.02
heavy,1,0.02
hello,1,0.02
her;,1,0.02
here--no,1,0.02
herself;,1,0.02
hey,1,0.02
hi-yi,1,0.02
higher,1,0.02
hill,1,0.02
him--a,1,0.02
holding,1,0.02
holy,1,0.02
homeless,1,0.02
homeward,1,0.02
honest,1,0.02
hooked,1,0.02
hop-skip-and-jump--proof,1,0.02
hopeless,1,0.02
hoping,1,0.02
hopped,1,0.02
hot,1,0.02
hour--and,1,0.02
hove,1,0.02
hovered,1,0.02
however,1,0.02
huck,1,0.02
human,1,0.02
human--this,1,0.02
hundred,1,0.02
hundreds,1,0.02
hung,1,0.02
hurricane-deck,1,0.02
hurt,1,0.02
hurt--anyways,1,0.02
hypercritical,1,0.02
hypertext,1,0.02
identification,1,0.02
identify,1,0.02
idle,1,0.02
ii,1,0.02
iii,1,0.02
imaginary,1,0.02
imagine,1,0.02
immunity,1,0.02
important,1,0.02
imposed,1,0.02
impressive,1,0.02
improving,1,0.02
in:,1,0.02
inaccurate,1,0.02
incidental,1,0.02
include,1,0.02
includes,1,0.02
incomplete,1,0.02
increased,1,0.02
increasing,1,0.02
indemnify,1,0.02
indemnity,1,0.02
indicate,1,0.02
indicating,1,0.02
indirect,1,0.02
indirectly,1,0.02
individual--he,1,0.02
information:,1,0.02
infringement,1,0.02
injun;,1,0.02
innocents,1,0.02
inside,1,0.02
insignificant,1,0.02
inspiration:,1,0.02
intended,1,0.02
interested,1,0.02
internal,1,0.02
international,1,0.02
interpreted,1,0.02
intrepid,1,0.02
intrude,1,0.02
invalidity,1,0.02
invited,1,0.02
inviting,1,0.02
irs,1,0.02
is--and,1,0.02
is--better,1,0.02
issued,1,0.02
it--,1,0.02
