word, absfrequency, relfrequency
inspiration,2,0.02
intellectual,2,0.02
intervals,2,0.02
keeping,2,0.02
knowing,2,0.02
knows,2,0.02
labboard,2,0.02
late,2,0.02
laugh,2,0.02
leaned,2,0.02
least,2,0.02
led,2,0.02
legal,2,0.02
liar,2,0.02
library,2,0.02
lieu,2,0.02
lips,2,0.02
lived,2,0.02
locations,2,0.02
looking,2,0.02
loved,2,0.02
low,2,0.02
lowed,2,0.02
main,2,0.02
marbles,2,0.02
marked,2,0.02
meantime,2,0.02
men,2,0.02
met,2,0.02
michael,2,0.02
middle,2,0.02
midst,2,0.02
missis,2,0.02
missouri,2,0.02
move,2,0.02
murmur,2,0.02
name,2,0.02
near,2,0.02
nearer,2,0.02
nearly,2,0.02
necessary,2,0.02
negro,2,0.02
neither,2,0.02
note,2,0.02
o,2,0.02
obliged,2,0.02
obtaining,2,0.02
offered,2,0.02
office,2,0.02
open,2,0.02
opportunity,2,0.02
orders,2,0.02
owns,2,0.02
page,2,0.02
pair,2,0.02
pause,2,0.02
paused,2,0.02
paying,2,0.02
peace,2,0.02
performances,2,0.02
permitted,2,0.02
perplexed,2,0.02
personating,2,0.02
pet,2,0.02
physical,2,0.02
pictured,2,0.02
pity,2,0.02
placed,2,0.02
plain,2,0.02
planned,2,0.02
pocket,2,0.02
pounding,2,0.02
prepare,2,0.02
previous,2,0.02
printed,2,0.02
prominently,2,0.02
promoting,2,0.02
property,2,0.02
protect,2,0.02
purpose,2,0.02
quiet,2,0.02
r,2,0.02
re-use,2,0.02
reached,2,0.02
readable,2,0.02
receipt,2,0.02
redistributing,2,0.02
redistribution,2,0.02
registered,2,0.02
remembered,2,0.02
removed,2,0.02
research,2,0.02
restrictions,2,0.02
returned,2,0.02
river,2,0.02
roundabout,2,0.02
royalties,2,0.02
rules,2,0.02
run,2,0.02
sacred,2,0.02
same,2,0.02
saturday,2,0.02
say--i,2,0.02
says,2,0.02
seated,2,0.02
seeing,2,0.02
seem,2,0.02
seemed,2,0.02
seen,2,0.02
seldom,2,0.02
sentence,2,0.02
service,2,0.02
settled,2,0.02
seven,2,0.02
sews,2,0.02
sh,2,0.02
shabbier,2,0.02
shade,2,0.02
shall,2,0.02
short,2,0.02
should,2,0.02
shoulder,2,0.02
show,2,0.02
side,2,0.02
sidewalk,2,0.02
sigh,2,0.02
sighing,2,0.02
sin,2,0.02
sir,2,0.02
six,2,0.02
snatched,2,0.02
solicit,2,0.02
something,2,0.02
song,2,0.02
sore,2,0.02
sorrows,2,0.02
sort,2,0.02
sorts,2,0.02
soul,2,0.02
sound,2,0.02
specified,2,0.02
spirit,2,0.02
stand,2,0.02
stared,2,0.02
start,2,0.02
steal,2,0.02
steamboat,2,0.02
step,2,0.02
stepped,2,0.02
stopped,2,0.02
streak,2,0.02
strike,2,0.02
strode,2,0.02
stump,2,0.02
supper,2,0.02
surprised,2,0.02
switch,2,0.02
taken,2,0.02
takes,2,0.02
talks,2,0.02
tears,2,0.02
tend,2,0.02
their,2,0.02
themselves,2,0.02
those,2,0.02
though,2,0.02
thousand,2,0.02
three,2,0.02
throw,2,0.02
tin,2,0.02
together,2,0.02
tole,2,0.02
torment,2,0.02
tricks,2,0.02
troubles,2,0.02
twenty,2,0.02
understand,2,0.02
vanilla,2,0.02
vanished,2,0.02
voice,2,0.02
warranty,2,0.02
watching,2,0.02
wealth,2,0.02
west,2,0.02
whatever,2,0.02
whatsoever,2,0.02
whitewashing,2,0.02
whom,2,0.02
widest,2,0.02
widger,2,0.02
wilted,2,0.02
wore,2,0.02
yards,2,0.02
years,2,0.02
young,2,0.02
#7193],1,0.01
$1,1,0.01
$5,1,0.01
*,1,0.01
--but,1,0.01
--for,1,0.01
--sid,1,0.01
000,1,0.01
1500,1,0.01
1876,1,0.01
20%,1,0.01
2001,1,0.01
2004,1,0.01
29,1,0.01
30,1,0.01
4557,1,0.01
50,1,0.01
596-1887,1,0.01
60,1,0.01
64-6221541,1,0.01
801,1,0.01
809,1,0.01
84116,1,0.01
99712,1,0.01
[*,1,0.01
[both,1,0.01
[ebook,1,0.01
abide,1,0.01
absorbed,1,0.01
absorbing,1,0.01
absurd,1,0.01
abuse,1,0.01
accept,1,0.01
accepting,1,0.01
accessed,1,0.01
accessible,1,0.01
according,1,0.01
account,1,0.01
accustomed,1,0.01
achievement,1,0.01
acquired,1,0.01
action,1,0.01
actual,1,0.01
adamantine,1,0.01
adding,1,0.01
addition,1,0.01
additions,1,0.01
address,1,0.01
addresses,1,0.01
admiration,1,0.01
adoration;,1,0.01
adored,1,0.01
adults,1,0.01
adventurous,1,0.01
afeard--,1,0.01
affairs,1,0.01
again--ben,1,0.01
again;,1,0.01
against,1,0.01
age,1,0.01
age-long,1,0.01
agent,1,0.01
ago;,1,0.01
ah,1,0.01
ahead,1,0.01
aides-de-camp,1,0.01
air--the,1,0.01
ak,1,0.01
alacrity,1,0.01
alike,1,0.01
alive,1,0.01
allow,1,0.01
allusions,1,0.01
alongside,1,0.01
alteration,1,0.01
altered,1,0.01
alternate,1,0.01
am,1,0.01
ambuscade,1,0.01
amiss,1,0.01
amusement,1,0.01
amy,1,0.01
anatomy,1,0.01
angel,1,0.01
answered,1,0.01
antelope,1,0.01
anticipations,1,0.01
anybody--whacks,1,0.01
anyway,1,0.01
apartment,1,0.01
appear,1,0.01
appearing,1,0.01
appears,1,0.01
apply,1,0.01
appointed;,1,0.01
appointment,1,0.01
approach,1,0.01
architecture,1,0.01
arise,1,0.01
army,1,0.01
array,1,0.01
arrest,1,0.01
artificial,1,0.01
as-is,1,0.01
aside,1,0.01
asleep,1,0.01
assistance,1,0.01
astonishment,1,0.01
astounding,1,0.01
astride,1,0.01
ate,1,0.01
attached,1,0.01
attain,1,0.01
attentions,1,0.01
attraction,1,0.01
audacious,1,0.01
author,1,0.01
author:,1,0.01
aw--take,1,0.01
aware,1,0.01
away--you,1,0.01
away;,1,0.01
ax,1,0.01
back;,1,0.01
bad,1,0.01
balance,1,0.01
balmy,1,0.01
bandage,1,0.01
bankrupted,1,0.01
bare,1,0.01
barely,1,0.01
barrel,1,0.01
beat,1,0.01
became,1,0.01
bedroom,1,0.01
bees,1,0.01
before;,1,0.01
beginning,1,0.01
behold,1,0.01
believe,1,0.01
belongs,1,0.01
belting,1,0.01
bend,1,0.01
bent,1,0.01
beseeching,1,0.01
bet,1,0.01
between,1,0.01
bigger,1,0.01
biggest,1,0.01
bight,1,0.01
billy,1,0.01
binary,1,0.01
bird-like,1,0.01
bitter,1,0.01
blanc,1,0.01
blighted,1,0.01
block,1,0.01
bloom,1,0.01
blossoms,1,0.01
blue-eyed,1,0.01
blur,1,0.01
board,1,0.01
board-fence,1,0.01
boat,1,0.01
bore,1,0.01
born,1,0.01
bosom,1,0.01
bother,1,0.01
bottle-glass,1,0.01
bought,1,0.01
bounce,1,0.01
bowl,1,0.01
boy;,1,0.01
boyish,1,0.01
brace,1,0.01
brass,1,0.01
breakfast-room,1,0.01
breaks,1,0.01
breast,1,0.01
breath,1,0.01
brimful,1,0.01
brimming,1,0.01
bringing,1,0.01
broad,1,0.01
broom,1,0.01
brothers,1,0.01
brow,1,0.01
brushing,1,0.01
bucket--i,1,0.01
buffalo,1,0.01
built,1,0.01
bully,1,0.01
burden,1,0.01
burnt,1,0.01
burst,1,0.01
business--she,1,0.01
business@pglaf,1,0.01
button,1,0.01
by-and-by,1,0.01
calculate,1,0.01
call,1,0.01
called,1,0.01
calling,1,0.01
calm,1,0.01
candle,1,0.01
cannon,1,0.01
cap,1,0.01
captain,1,0.01
captivity,1,0.01
capture,1,0.01
card,1,0.01
cardiff,1,0.01
care,1,0.01
careful,1,0.01
careful;,1,0.01
carelessly:,1,0.01
cares,1,0.01
carried,1,0.01
carry,1,0.01
casting,1,0.01
casual,1,0.01
catch,1,0.01
cats;,1,0.01
caught,1,0.01
caution,1,0.01
cautiously,1,0.01
cease,1,0.01
cent,1,0.01
cents,1,0.01
ch-chow-wow,1,0.01
chalk,1,0.01
chap,1,0.01
characteristics,1,0.01
charges,1,0.01
charitable,1,0.01
charities,1,0.01
chased,1,0.01
checked,1,0.01
checks,1,0.01
cheer,1,0.01
cheeriness,1,0.01
chief,1,0.01
children,1,0.01
chips,1,0.01
choice,1,0.01
choke;,1,0.01
choose,1,0.01
chow-ch-chow-chow,1,0.01
chow-ow-ow,1,0.01
circle;,1,0.01
circles,1,0.01
circles--for,1,0.01
circumstance--for,1,0.01
circumstances,1,0.01
circumstantial,1,0.01
citified,1,0.01
city,1,0.01
claim,1,0.01
clasped,1,0.01
clearly,1,0.01
climbing,1,0.01
clock,1,0.01
clodding,1,0.01
close,1,0.01
close-buttoned,1,0.01
cloth,1,0.01
clouds,1,0.01
coated,1,0.01
coats,1,0.01
codes,1,0.01
coldly,1,0.01
collect,1,0.01
colored,1,0.01
combination,1,0.01
come--out,1,0.01
comfort,1,0.01
comforted,1,0.01
commanders,1,0.01
commercial,1,0.01
committed,1,0.01
companies,1,0.01
compared,1,0.01
compilation,1,0.01
compliment,1,0.01
composite,1,0.01
comprehended,1,0.01
compressed,1,0.01
concerned,1,0.01
condescend,1,0.01
conduct,1,0.01
conducted,1,0.01
confessed,1,0.01
confession,1,0.01
confirmation,1,0.01
confirmed,1,0.01
conflict,1,0.01
confound,1,0.01
confusion,1,0.01
consciousness,1,0.01
consent;,1,0.01
consequential,1,0.01
consisted,1,0.01
constant,1,0.01
constituted,1,0.01
constructing,1,0.01
construed,1,0.01
contact;,1,0.01
containing,1,0.01
contemplate,1,0.01
content,1,0.01
continent,1,0.01
continued,1,0.01
contract,1,0.01
controlled,1,0.01
convert,1,0.01
coppers,1,0.01
core,1,0.01
corporation,1,0.01
corrupt,1,0.01
counted,1,0.01
countries,1,0.01
couple,1,0.01
cousin,1,0.01
covered,1,0.01
covet,1,0.01
cow-stable,1,0.01
coward,1,0.01
creation,1,0.01
creature,1,0.01
credit,1,0.01
cried,1,0.01
critical,1,0.01
crowd,1,0.01
crowded,1,0.01
crying--mainly,1,0.01
cunning,1,0.01
curiosity,1,0.01
curls,1,0.01
current,1,0.01
curse,1,0.01
curtain,1,0.01
cut,1,0.01
daily,1,0.01
daintily,1,0.01
dainty,1,0.01
damaged,1,0.01
damaging,1,0.01
damp,1,0.01
danced,1,0.01
dander,1,0.01
dangerous,1,0.01
dangled,1,0.01
daring,1,0.01
dat,1,0.01
data,1,0.01
date:,1,0.01
death,1,0.01
death-damps,1,0.01
decanter,1,0.01
declined,1,0.01
deductible,1,0.01
deed,1,0.01
deep--for,1,0.01
deep-toned,1,0.01
defects,1,0.01
delectable,1,0.01
deletions,1,0.01
delicious,1,0.01
delight,1,0.01
deluge,1,0.01
demand,1,0.01
departed,1,0.01
depends,1,0.01
derision,1,0.01
derive,1,0.01
derived,1,0.01
describe,1,0.01
described,1,0.01
describing,1,0.01
desolate,1,0.01
desperate--,1,0.01
despite,1,0.01
detach,1,0.01
determine,1,0.01
devices,1,0.01
devised,1,0.01
die,1,0.01
die--out,1,0.01
different,1,0.01
difficult,1,0.01
dilapidated,1,0.01
diligence,1,0.01
diluted,1,0.01
dim,1,0.01
dining-room,1,0.01
dip,1,0.01
diplomacy,1,0.01
dipped,1,0.01
direct,1,0.01
direction,1,0.01
directly,1,0.01
director,1,0.01
dirt,1,0.01
dis,1,0.01
disagreement,1,0.01
discharging,1,0.01
discipline,1,0.01
disclaim,1,0.01
disclaimers,1,0.01
discontinue,1,0.01
discordant,1,0.01
discouraged,1,0.01
discover,1,0.01
disk,1,0.01
dismal,1,0.01
display,1,0.01
displayed,1,0.01
disposing,1,0.01
distance,1,0.01
distraction;,1,0.01
distributed:,1,0.01
distributor,1,0.01
dog,1,0.01
dog--the,1,0.01
dog-collar--but,1,0.01
donation,1,0.01
donors,1,0.01
doorknob,1,0.01
doubt,1,0.01
doughnut,1,0.01
downloading,1,0.01
drawing,1,0.01
drawn,1,0.01
dreading,1,0.01
dreams,1,0.01
dreamy,1,0.01
dreary,1,0.01
drive,1,0.01
drop,1,0.01
dropped,1,0.01
drove,1,0.01
drowned,1,0.01
drowsing,1,0.01
druther,1,0.01
dry,1,0.01
dull,1,0.01
e-mail,1,0.01
ear;,1,0.01
easily,1,0.01
easy,1,0.01
edge,1,0.01
edged,1,0.01
edition,1,0.01
educational,1,0.01
effect--added,1,0.01
eggs,1,0.01
ein,1,0.01
elaborately,1,0.01
elect,1,0.01
else,1,0.01
embroidered,1,0.01
eminence,1,0.01
emotion;,1,0.01
employee,1,0.01
endowed,1,0.01
energy,1,0.01
engaged,1,0.01
engine-bells,1,0.01
engines,1,0.01
england,1,0.01
english,1,0.01
ensuring,1,0.01
entertainment,1,0.01
entire,1,0.01
er,1,0.01
errors,1,0.01
especially,1,0.01
evanescent,1,0.01
evening,1,0.01
evenings,1,0.01
exalted,1,0.01
exchange,1,0.01
exchanged,1,0.01
excitement,1,0.01
exclusion,1,0.01
executing,1,0.01
executive,1,0.01
exhibited,1,0.01
existence,1,0.01
exists,1,0.01
expeditions,1,0.01
expend,1,0.01
expense,1,0.01
experiences,1,0.01
exporting,1,0.01
express,1,0.01
extent,1,0.01
exultation,1,0.01
eying,1,0.01
f3,1,0.01
faces,1,0.01
facility:,1,0.01
faculties,1,0.01
fagged,1,0.01
fairbanks,1,0.01
fall,1,0.01
families,1,0.01
far-reaching,1,0.01
feather,1,0.01
feel,1,0.01
feelings,1,0.01
feels,1,0.01
felicity,1,0.01
fence--right,1,0.01
fence;,1,0.01
fetch,1,0.01
fiercely,1,0.01
fifty,1,0.01
fight,1,0.01
filled,1,0.01
film,1,0.01
financial,1,0.01
find,1,0.01
finery,1,0.01
finger,1,0.01
fingers,1,0.01
finish,1,0.01
finn,1,0.01
fire,1,0.01
fire-crackers,1,0.01
firing,1,0.01
firmness,1,0.01
fisher,1,0.01
fists,1,0.01
fitness,1,0.01
fixed,1,0.01
flattered,1,0.01
flavor,1,0.01
fled,1,0.01
flight,1,0.01
flourish,1,0.01
flushed,1,0.01
flying,1,0.01
fog,1,0.01
follow,1,0.01
fool,1,0.01
foolin,1,0.01
fooling,1,0.01
foolishness,1,0.01
forbade,1,0.01
forestalled,1,0.01
forgive,1,0.01
forgiving,1,0.01
forth--stepped,1,0.01
forty-foot,1,0.01
four,1,0.01
four-horse,1,0.01
fragment,1,0.01
fragrance,1,0.01
fraid,1,0.01
freedom,1,0.01
fresh,1,0.01
fresh-crowned,1,0.01
friday,1,0.01
friend,1,0.01
friendly,1,0.01
frock,1,0.01
fry--but,1,0.01
fundraising,1,0.01
furniture,1,0.01
further,1,0.01
furtive,1,0.01
gait,1,0.01
gals,1,0.01
garden,1,0.01
garden--a,1,0.01
garments,1,0.01
gauge-cocks,1,0.01
gay,1,0.01
gbnewby@pglaf,1,0.01
geeminy,1,0.01
generally,1,0.01
gentlemen,1,0.01
gimme,1,0.01
git,1,0.01
given,1,0.01
gladness,1,0.01
glance,1,0.01
glanced,1,0.01
gloom,1,0.01
glory,1,0.01
glorying,1,0.01
glow,1,0.01
glowering,1,0.01
goals,1,0.01
god,1,0.01
govern,1,0.01
granted,1,0.01
gratefully,1,0.01
gratified,1,0.01
grating,1,0.01
gratitude,1,0.01
gray,1,0.01
green,1,0.01
gregory,1,0.01
griefs,1,0.01
grieving,1,0.01
gripped,1,0.01
gross,1,0.01
grotesque,1,0.01
group,1,0.01
grow,1,0.01
guile,1,0.01
gutenberg:,1,0.01
gwine,1,0.01
gymnastic,1,0.01
h,1,0.01
hail-storm;,1,0.01
half-brother,1,0.01
half-past,1,0.01
halted,1,0.01
handle,1,0.01
handy,1,0.01
happen,1,0.01
happened,1,0.01
happiest,1,0.01
hard-fought,1,0.01
harmless,1,0.01
harper,1,0.01
hartford,1,0.01
hastened,1,0.01
hate,1,0.01
hateful,1,0.01
haunts,1,0.01
head-line,1,0.01
headquarters,1,0.01
heads--mine,1,0.01
